system	code	display
http://loinc.org	code	display
http://loinc.org	18779-9	Radiology Comparison study - date and time
http://loinc.org	18782-3	Radiology Study observation (narrative)
http://loinc.org	18783-1	Radiology Study recommendation (narrative)
http://loinc.org	18785-6	Radiology Reason for study (narrative)
http://loinc.org	18834-2	Radiology Comparison study (narrative)
http://loinc.org	19005-8	Radiology Imaging study [Impression] (narrative)
http://loinc.org	24533-2	MRA Abdominal vessels W contrast IV
http://loinc.org	24535-7	XR Acetabulum Views
http://loinc.org	24536-5	XR Acromioclavicular Joint Views
http://loinc.org	24538-1	MR Ankle
http://loinc.org	24539-9	MR Ankle WO and W contrast IV
http://loinc.org	24540-7	XR Ankle 2 Views
http://loinc.org	24541-5	XR Ankle Views
http://loinc.org	24543-1	RFA Guidance for angioplasty of Thoracic and abdominal aorta-- W contrast IA
http://loinc.org	24544-9	CT Thoracic Aorta
http://loinc.org	24545-6	CT Thoracic Aorta W contrast IV
http://loinc.org	24549-8	MRA Upper extremity vessels W contrast IV
http://loinc.org	24550-6	RFA Upper extremity veins Views W contrast IV
http://loinc.org	24551-4	RFA AV fistula Views W contrast IA
http://loinc.org	24552-2	RF Stent Views W contrast intra stent
http://loinc.org	24553-0	RFA Guidance for embolectomy of Intracranial vessel-- W contrast IV
http://loinc.org	24554-8	RFA Guidance for embolization of Artery-- W contrast IA
http://loinc.org	24555-5	RFA Guidance for placement of stent in Artery
http://loinc.org	24556-3	MR Abdomen
http://loinc.org	24557-1	MR Abdomen WO and W contrast IV
http://loinc.org	24560-5	Portable XR Abdomen AP left lateral-decubitus
http://loinc.org	24561-3	XR Abdomen AP left lateral-decubitus
http://loinc.org	24562-1	XR Abdomen Left lateral-decubitus and Right lateral-decubitus
http://loinc.org	24563-9	XR Abdomen AP right lateral-decubitus
http://loinc.org	24564-7	Portable XR Abdomen AP upright
http://loinc.org	24566-2	CT Retroperitoneum
http://loinc.org	24568-8	RFA Guidance for atherectomy of AV fistula-- W contrast IV
http://loinc.org	24569-6	RFA AV shunt Views W contrast IV
http://loinc.org	24570-4	RF Guidance for removal of calculus from Biliary duct common-- W contrast retrograde intra biliary
http://loinc.org	24571-2	NM Biliary ducts and Gallbladder Views for patency of biliary structures and ejection fraction W sincalide and W radionuclide IV
http://loinc.org	24572-0	NM Biliary ducts and Gallbladder Views for patency of biliary structures W Tc-99m IV
http://loinc.org	24573-8	XR Biliary ducts and Gallbladder Views W contrast IV
http://loinc.org	24574-6	RF Biliary ducts and Gallbladder Views during surgery W contrast biliary duct
http://loinc.org	24575-3	RF Biliary ducts and Gallbladder Views W contrast percutaneous transhepatic
http://loinc.org	24576-1	RFA Urinary bladder arteries Views W contrast IA
http://loinc.org	24577-9	XR Bone Views during surgery
http://loinc.org	24578-7	SPECT Bones
http://loinc.org	24579-5	XR Long bones Survey Views
http://loinc.org	24580-3	RFA Guidance for angioplasty of Brachiocephalic artery-- W contrast IA
http://loinc.org	24581-1	RFA Subclavian artery and Brachial artery Views W contrast IA
http://loinc.org	24582-9	MR Brachial plexus
http://loinc.org	24583-7	MR Brachial plexus WO and W contrast IV
http://loinc.org	24584-5	MRA Thoracic inlet vessels W contrast IV
http://loinc.org	24585-2	CT Guidance for stereotactic biopsy of Head-- W contrast IV
http://loinc.org	24586-0	MR Brain W anesthesia
http://loinc.org	24587-8	MR Brain WO and W contrast IV
http://loinc.org	24588-6	MR Brain WO and W contrast IV and W anesthesia
http://loinc.org	24589-4	MR Brain W contrast IV
http://loinc.org	24590-2	MR Brain
http://loinc.org	24591-0	NM Brain Brain death protocol Views W Tc-99m HMPAO IV
http://loinc.org	24593-6	MRA Head vessels W contrast IV
http://loinc.org	24594-4	MG Guidance for aspiration of cyst of Breast
http://loinc.org	24595-1	MG Guidance for needle localization of mass of Breast
http://loinc.org	24597-7	MG Breast specimen Views
http://loinc.org	24598-5	MG Guidance for fluid aspiration of Breast
http://loinc.org	24602-5	MG Guidance for biopsy of Breast
http://loinc.org	24603-3	MG stereo Guidance for biopsy of Breast
http://loinc.org	24604-1	MG Breast Diagnostic Limited Views
http://loinc.org	24605-8	MG Breast Diagnostic
http://loinc.org	24606-6	MG Breast Screening
http://loinc.org	24609-0	MG Guidance for percutaneous biopsy.core needle of Breast
http://loinc.org	24610-8	MG Breast Limited Views
http://loinc.org	24612-4	XR Calcaneus Views
http://loinc.org	24614-0	RFA Guidance for angioplasty of Carotid artery extracranial-- W contrast IA
